檔名,請開,請關,請保持,其他
1633056677,0,0,0,1
1648290403,0,0,0,1
1651108191,0,0,0,1
1632317974,0,0,0,1
1637285404,0,0,0,1
1650522110,0,0,0,1
1633169241,0,0,0,1
1642834345,0,0,0,1
1631407522,0,0,0,1
1619418627,0,0,0,1
1619224037,0,0,0,1
1633863210,0,0,0,1
1642995859,0,0,0,1
1647860353,0,0,0,1
1618544993,0,0,0,1
1632822380,0,0,0,1
1632034823,0,0,0,1
1637641413,0,0,0,1
1620552180,0,0,0,1
1620910938,0,0,0,1
1621568710,0,0,0,1
1643698289,0,0,0,1
1649756782,0,0,0,1
1630149910,0,1,0,0
1650148875,0,0,0,1
1650161257,0,0,0,1
1650939424,0,0,0,1
1619165626,0,0,0,1
1645957135,0,0,0,1
1650421931,0,0,0,1
1634291055,0,0,0,1
1634962582,1,0,0,0
1632122192,0,0,0,1
1622785952,0,0,0,1
1630404092,0,0,0,1
1618736894,0,1,0,0
1619931805,0,0,0,1
1631960410,0,0,0,1
1633608434,0,0,0,1
1619858965,0,0,0,1
1619824952,0,0,0,1
1632664296,0,0,0,1
1642160066,0,0,0,1
1635147565,0,0,0,1
1649509134,0,0,0,1
1619831399,0,0,0,1
1621517974,0,0,0,1
1651192363,0,1,0,0
1619326340,0,0,0,1
1633525071,0,0,0,1
1649403867,0,0,0,1
1619182994,0,0,0,1
1621081412,0,0,0,1
1628814156,0,0,0,1
1619493178,0,0,0,1
1642778851,0,0,0,1
1632364106,0,0,0,1
1650926277,0,0,0,1
1620346475,0,0,0,1
1649670598,0,0,0,1
1651145629,0,0,0,1
1620297398,0,0,0,1
1648354477,0,0,0,1
1632204672,0,0,0,1
1643106260,0,0,0,1
1650189008,0,1,0,0
1650285407,0,0,0,1
1647304976,0,0,0,1
1632573846,0,0,0,1
1642294803,0,0,0,1
1650706553,0,0,0,1
1650624257,0,0,0,1
1620863179,0,0,0,1
1637138300,0,0,0,1
1631677965,0,0,0,1
1621398253,0,1,0,0
1620527107,0,0,0,1
1650936313,0,0,0,1
1619621548,0,0,0,1
1649485224,0,0,0,1
1619084870,0,0,0,1
1620912812,0,0,0,1
1632274529,0,0,0,1
1619934554,0,0,0,1
1640002782,0,0,0,1
1621611646,0,0,0,1
1647658757,0,0,0,1
1632183760,0,1,0,0
1620100142,0,0,0,1
1649126390,0,0,0,1
1619355770,1,0,0,0
1619146652,1,0,0,0
1643877224,0,0,0,1
1630204673,0,0,0,1
1619426851,0,0,0,1
1650757269,0,0,0,1
1638531836,0,0,0,1
1650012928,0,0,0,1
1643887610,0,0,0,1
1631581517,0,0,0,1
1649320398,0,0,0,1
1619755229,0,0,0,1
1642818704,0,0,0,1
1619835108,0,0,0,1
1643986493,0,0,0,1
1634813634,0,0,0,1
1650790527,0,0,0,1
1649140300,0,0,0,1
1619412179,0,0,0,1
1650713484,0,0,0,1
1631324803,0,0,0,1
1618324408,0,0,0,1
1642469668,0,0,0,1
1650279647,0,0,0,1
1620180770,0,0,0,1
1630138067,0,0,0,1
1648942012,0,0,0,1
1620950804,0,0,0,1
1630560714,0,0,0,1
1624501050,0,0,0,1
1618646414,0,0,0,1
1632482870,0,0,0,1
1633769919,0,0,0,1
1631617923,0,0,0,1
1649034984,0,0,0,1
1648259115,0,0,0,1
1627629248,0,0,0,1
1632136152,0,0,0,1
1635909070,0,0,0,1
1634701648,0,0,0,1
1650990525,0,0,0,1
1637633977,0,0,0,1
1632832496,0,0,0,1
1633227747,0,0,0,1
1621937297,0,0,0,1
1619177883,0,0,0,1
1621831925,0,0,0,1
1630938224,0,0,0,1
1632058982,0,1,0,0
1619737758,0,1,0,0
1630763801,0,1,0,0
1618702112,0,0,0,1
1633500442,0,0,0,1
1644279743,0,0,0,1
1619175055,0,0,0,1
1620869916,0,0,0,1
1619492804,0,0,0,1
1619438917,0,1,0,0
1650933105,0,0,0,1
1651107958,0,1,0,0
1630318167,0,0,0,1
1619831768,0,0,0,1
1651237596,0,0,0,1
1620049267,0,0,0,1
1620833794,0,1,0,0
1620841011,0,0,0,1
1620911299,0,0,0,1
1618320266,0,0,0,1
1637551217,0,0,0,1
1620898471,0,0,0,1
1633527239,0,0,0,1
1632092636,0,0,0,1
1633144364,0,0,0,1
1630058479,0,0,0,1
1650979919,0,0,0,1
1649488627,0,0,0,1
1648360505,0,0,0,1
1621169576,0,0,0,1
1648083738,0,0,0,1
1633309804,0,0,0,1
1648817172,0,0,0,1
1647332706,0,0,0,1
1621343175,0,0,0,1
1620038039,0,0,0,1
1649229569,0,0,0,1
1642756041,0,0,0,1
1646741781,0,0,0,1
1632707349,0,0,0,1
1630243941,0,0,0,1
1650796580,0,0,0,1
1618561655,0,0,0,1
1648970437,0,0,0,1
1619706738,0,0,0,1
1631092889,0,0,0,1
1632912103,0,0,0,1
1636095275,1,0,0,0
1632301597,0,0,0,1
1632621605,0,0,0,1
1646360359,0,0,0,1
1620977711,0,0,0,1
1617787687,0,0,0,1
1637545514,0,0,0,1
1628756551,0,0,0,1
1629199073,0,0,0,1
1630332180,0,0,0,1
1634007600,0,0,0,1
1650188070,0,0,0,1
1631798057,0,0,0,1
1651241629,0,0,0,1
1618652815,0,0,0,1
1630925271,0,0,0,1
1648820723,0,0,0,1
1618241411,0,0,0,1
1620970474,0,0,0,1
1619169557,0,0,0,1
1633765739,0,0,0,1
1632142623,0,0,0,1
1619221113,0,0,0,1
1650895354,1,0,0,0
1629982355,0,0,0,1
1620900294,0,0,0,1
1633244681,0,0,0,1
1648342796,0,0,0,1
1651154430,0,0,0,1
1649893070,1,0,0,0
1629271277,0,0,0,1
1645867784,0,0,0,1
1649425217,0,0,0,1
1645790302,0,0,0,1
1639576442,0,0,0,1
1648218381,0,0,0,1
1649727412,0,0,0,1
1650248080,0,0,0,1
1632443478,0,0,0,1
1648285654,0,1,0,0
1644048187,0,0,0,1
1649160815,0,0,0,1
1646806237,0,0,0,1
1639815428,0,0,0,1
1650700801,0,0,0,1
1630811093,0,0,0,1
1648221998,0,0,0,1
1642035570,0,0,0,1
1650807541,0,0,0,1
1632721121,0,0,0,1
1630588983,0,0,0,1
1649393371,0,0,0,1
1618879486,0,0,0,1
1634600571,0,0,0,1
1620869951,0,0,0,1
1621059607,0,0,0,1
1621075847,0,0,0,1
1629105018,0,0,0,1
1642158242,0,0,0,1
1619770691,0,0,0,1
1620608858,0,0,0,1
1650505279,0,0,0,1
1619055821,0,0,0,1
1618308729,0,0,0,1
1631861304,0,0,0,1
1634444344,0,0,0,1
1649036361,0,0,0,1
1632483639,0,0,0,1
1634973670,1,0,0,0
1647239904,0,0,0,1
1623286468,0,0,0,1
1632021712,0,0,0,1
1649843258,0,0,0,1
1636077988,0,0,0,1
1622663255,0,0,0,1
1619070577,0,0,0,1
1635293161,0,0,0,1
1627951888,0,0,0,1
1631506254,0,0,0,1
1620288105,0,0,0,1
1619310661,0,0,0,1
1620228145,0,0,0,1
1633608674,0,0,0,1
1647389423,0,0,0,1
1650275730,0,0,0,1
1649469526,0,0,0,1
1632115593,0,0,0,1
1644754303,0,0,0,1
1637550011,0,0,0,1
1631265897,0,0,0,1
1634439614,0,0,0,1
1620829663,0,0,0,1
1634512107,0,0,0,1
1629599915,0,0,0,1
1622796980,0,0,0,1
1649575567,0,0,0,1
1649389466,0,0,0,1
1619692434,0,0,0,1
1629160823,0,0,0,1
1647754057,0,0,0,1
1622951076,0,0,0,1
1642135272,0,1,0,0
1619172692,0,0,0,1
1650598331,0,1,0,0
1618287144,0,0,0,1
1649147528,0,0,0,1
1630548260,0,0,0,1
1649585099,0,0,0,1
1641298739,0,0,0,1
1633253949,0,0,0,1
1650667102,0,0,0,1
1650066404,0,0,0,1
1647854728,0,0,0,1
1648254201,0,0,0,1
1632665766,0,0,0,1
1631888132,0,0,0,1
1649307100,0,0,0,1
1620915496,0,0,0,1
1634090420,0,0,0,1
1618565533,0,0,0,1
1630292305,0,0,0,1
1618554187,0,0,0,1
1629017921,0,0,0,1
1619173114,0,0,0,1
1635472868,0,0,0,1
1642833776,0,0,0,1
1651072131,0,0,0,1
1649640188,0,0,0,1
1619353599,0,0,0,1
1635082840,1,0,0,0
1619254960,0,0,0,1
1628311210,0,0,0,1
1650157160,0,0,0,1
1634723447,0,0,0,1
1631096849,0,0,0,1
1629729073,0,0,0,1
1633585594,0,0,0,1
1632817793,0,0,0,1
1628756459,0,0,0,1
1634556428,0,0,0,1
1632901309,0,0,0,1
1646870296,0,0,0,1
1639213995,0,0,0,1
1632747309,0,0,0,1
1636467791,0,0,0,1
1621158827,0,0,0,1
1635749742,0,0,0,1
1632849568,0,0,0,1
1620842023,0,0,0,1
1619430310,0,0,0,1
1620049265,0,0,0,1
1619087726,0,0,0,1
1650446645,0,0,0,1
1650256716,0,0,0,1
1624682967,0,0,0,1
1620996245,0,0,0,1
1636362879,0,0,0,1
1647566403,0,0,0,1
1618318815,0,0,0,1
1650782748,0,0,0,1
1635293805,0,0,0,1
1619876582,0,0,0,1
1618961284,0,0,0,1
1632921786,0,0,0,1
1650928204,0,0,0,1
1633325037,0,1,0,0
1629889072,0,0,0,1
1647420774,0,0,0,1
1630744590,1,0,0,0
1649257252,0,0,0,1
1633681826,0,0,0,1
1631019098,0,0,0,1
1650239828,0,0,0,1
1619512629,0,0,0,1
1620345637,0,0,0,1
1651157673,0,0,0,1
1648777333,0,0,0,1
1621216615,0,0,0,1
1633912365,0,1,0,0
1648379599,0,0,0,1
1636948132,0,0,0,1
1650354767,0,0,0,1
1642989038,0,0,0,1
1620354094,0,0,0,1
1651054781,0,0,0,1
1649291316,0,0,0,1
1618288478,1,0,0,0
1620034235,0,1,0,0
1650896542,0,0,0,1
1629894343,0,1,0,0
1618639090,0,0,0,1
1620204709,0,0,0,1
1620308961,0,0,0,1
1618553864,1,0,0,0
1651137511,0,0,0,1
1631085770,0,0,0,1
1631972361,0,0,0,1
1629784226,0,0,0,1
1631744886,0,0,0,1
1635565857,0,0,0,1
1630784415,0,0,0,1
1650203813,0,0,0,1
1618853368,0,0,0,1
1648252454,0,0,0,1
1629910175,0,0,0,1
1650161994,0,1,0,0
1618723686,0,0,0,1
1645062280,0,0,0,1
1632788027,0,0,0,1
1618980646,0,0,0,1
1619238174,0,0,0,1
1621260098,0,0,0,1
1619684056,0,0,0,1
1632613388,0,0,0,1
1633349333,0,0,0,1
1635210956,0,0,0,1
1619917131,0,0,0,1
1631791762,0,0,0,1
1633511731,0,0,0,1
1642159894,1,0,0,0
1648954160,0,0,0,1
1620729256,0,0,0,1
1619178150,0,0,0,1
1634043536,0,0,0,1
1620968053,1,0,0,0
1630759869,0,0,0,1
1631096686,0,0,0,1
1618812478,0,0,0,1
1630786378,1,0,0,0
1631283891,0,0,0,1
1629703245,0,1,0,0
1633951049,0,0,0,1
1618641113,0,0,0,1
1646984018,0,0,0,1
1650801365,0,0,0,1
1619246470,0,0,0,1
1633861496,0,0,0,1
1619094226,0,0,0,1
1630788440,0,0,0,1
1632189847,0,0,0,1
1618622014,0,0,0,1
1632727676,0,1,0,0
1630922686,1,0,0,0
1619873945,0,0,0,1
1633161500,0,0,0,1
1647221029,0,0,0,1
1650759828,0,0,0,1
1635043921,1,0,0,0
1619415489,0,0,0,1
1619433299,0,0,0,1
1629960879,0,0,0,1
1619180974,0,0,0,1
1629874554,0,0,0,1
1649426746,0,0,0,1
1648206260,0,0,0,1
1648285179,0,0,0,1
1621056409,0,0,0,1
1650071350,0,0,0,1
1634024854,0,0,0,1
1648298011,0,0,0,1
1643786047,0,0,0,1
1620189314,0,0,0,1
1634360534,0,0,0,1
1630751914,1,0,0,0
1633947015,0,0,0,1
1633308973,0,0,0,1
